,Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
383,IDCJAC0011,94029,1883,1,19,10.2,1.0,Y
384,IDCJAC0011,94029,1883,1,20,15.2,1.0,Y
385,IDCJAC0011,94029,1883,1,21,13.9,1.0,Y
386,IDCJAC0011,94029,1883,1,22,12.0,1.0,Y
387,IDCJAC0011,94029,1883,1,23,11.7,1.0,Y
388,IDCJAC0011,94029,1883,1,24,14.6,1.0,Y
389,IDCJAC0011,94029,1883,1,25,16.8,1.0,Y
390,IDCJAC0011,94029,1883,1,26,16.0,1.0,Y
391,IDCJAC0011,94029,1883,1,27,10.3,1.0,Y
392,IDCJAC0011,94029,1883,1,28,12.7,1.0,Y
393,IDCJAC0011,94029,1883,1,29,13.6,1.0,Y
394,IDCJAC0011,94029,1883,1,30,17.9,1.0,Y
395,IDCJAC0011,94029,1883,1,31,13.9,1.0,Y
396,IDCJAC0011,94029,1883,2,1,15.0,1.0,Y
397,IDCJAC0011,94029,1883,2,2,12.9,1.0,Y
398,IDCJAC0011,94029,1883,2,3,11.1,1.0,Y
399,IDCJAC0011,94029,1883,2,4,11.3,1.0,Y
400,IDCJAC0011,94029,1883,2,5,9.3,1.0,Y
401,IDCJAC0011,94029,1883,2,6,10.7,1.0,Y
402,IDCJAC0011,94029,1883,2,7,15.7,1.0,Y
403,IDCJAC0011,94029,1883,2,8,15.8,1.0,Y
404,IDCJAC0011,94029,1883,2,9,11.8,1.0,Y
405,IDCJAC0011,94029,1883,2,10,12.6,1.0,Y
406,IDCJAC0011,94029,1883,2,11,15.6,1.0,Y
407,IDCJAC0011,94029,1883,2,12,16.8,1.0,Y
408,IDCJAC0011,94029,1883,2,13,17.5,1.0,Y
409,IDCJAC0011,94029,1883,2,14,12.5,1.0,Y
410,IDCJAC0011,94029,1883,2,15,12.6,1.0,Y
411,IDCJAC0011,94029,1883,2,16,15.7,1.0,Y
412,IDCJAC0011,94029,1883,2,17,9.2,1.0,Y
413,IDCJAC0011,94029,1883,2,18,12.2,1.0,Y
414,IDCJAC0011,94029,1883,2,19,8.9,1.0,Y
415,IDCJAC0011,94029,1883,2,20,11.0,1.0,Y
416,IDCJAC0011,94029,1883,2,21,13.6,1.0,Y
417,IDCJAC0011,94029,1883,2,22,12.7,1.0,Y
418,IDCJAC0011,94029,1883,2,23,13.6,1.0,Y
419,IDCJAC0011,94029,1883,2,24,13.9,1.0,Y
420,IDCJAC0011,94029,1883,2,25,13.3,1.0,Y
421,IDCJAC0011,94029,1883,2,26,11.6,1.0,Y
422,IDCJAC0011,94029,1883,2,27,14.0,1.0,Y
423,IDCJAC0011,94029,1883,2,28,14.9,1.0,Y
424,IDCJAC0011,94029,1883,3,1,8.8,1.0,Y
425,IDCJAC0011,94029,1883,3,2,8.2,1.0,Y
426,IDCJAC0011,94029,1883,3,3,11.9,1.0,Y
427,IDCJAC0011,94029,1883,3,4,12.1,1.0,Y
428,IDCJAC0011,94029,1883,3,5,9.3,1.0,Y
429,IDCJAC0011,94029,1883,3,6,11.0,1.0,Y
430,IDCJAC0011,94029,1883,3,7,13.7,1.0,Y
431,IDCJAC0011,94029,1883,3,8,16.2,1.0,Y
432,IDCJAC0011,94029,1883,3,9,14.4,1.0,Y
433,IDCJAC0011,94029,1883,3,10,13.3,1.0,Y
434,IDCJAC0011,94029,1883,3,11,13.2,1.0,Y
435,IDCJAC0011,94029,1883,3,12,15.0,1.0,Y
436,IDCJAC0011,94029,1883,3,13,14.1,1.0,Y
437,IDCJAC0011,94029,1883,3,14,13.7,1.0,Y
438,IDCJAC0011,94029,1883,3,15,11.7,1.0,Y
439,IDCJAC0011,94029,1883,3,16,12.6,1.0,Y
440,IDCJAC0011,94029,1883,3,17,15.3,1.0,Y
441,IDCJAC0011,94029,1883,3,18,14.9,1.0,Y
442,IDCJAC0011,94029,1883,3,19,13.6,1.0,Y
443,IDCJAC0011,94029,1883,3,20,12.8,1.0,Y
444,IDCJAC0011,94029,1883,3,21,14.3,1.0,Y
445,IDCJAC0011,94029,1883,3,22,14.1,1.0,Y
446,IDCJAC0011,94029,1883,3,23,12.7,1.0,Y
447,IDCJAC0011,94029,1883,3,24,13.7,1.0,Y
